index,campaign,pdays,pdays_d,previous,poutcome,y
158,1,-1,-1,0,unknown,no
159,2,114,114,1,success,no
160,2,-1,-1,0,unknown,no
161,2,-1,-1,0,unknown,no
162,2,-1,-1,0,unknown,no
163,2,-1,-1,0,unknown,no
164,7,-1,-1,0,unknown,no
165,3,-1,-1,0,unknown,yes
166,3,-1,-1,0,unknown,no
167,1,-1,-1,0,unknown,no
168,1,235,235,19,failure,no
169,7,105,105,1,other,no
170,3,-1,-1,0,unknown,no
171,4,-1,-1,0,unknown,no
172,2,-1,-1,0,unknown,no
173,3,-1,-1,0,unknown,no
174,3,-1,-1,0,unknown,no
175,1,-1,-1,0,unknown,no
176,2,-1,-1,0,unknown,no
177,2,-1,-1,0,unknown,no
178,5,-1,-1,0,unknown,no
179,3,-1,-1,0,unknown,no
180,2,-1,-1,0,unknown,no
181,1,-1,-1,0,unknown,yes
182,1,82,82,1,failure,yes
183,4,43,43,5,other,no
184,2,184,184,2,failure,no
185,1,-1,-1,0,unknown,no
186,2,-1,-1,0,unknown,no
187,2,-1,-1,0,unknown,no
188,2,-1,-1,0,unknown,no
189,7,-1,-1,0,unknown,yes
190,2,-1,-1,0,unknown,no
191,2,-1,-1,0,unknown,no
192,7,-1,-1,0,unknown,no
193,3,-1,-1,0,unknown,no
194,3,-1,-1,0,unknown,no
195,3,-1,-1,0,unknown,no
196,4,-1,-1,0,unknown,no
197,4,-1,-1,0,unknown,no
198,2,-1,-1,0,unknown,no
199,2,326,326,1,other,no
200,1,-1,-1,0,unknown,no
201,1,-1,-1,0,unknown,no
202,3,-1,-1,0,unknown,no
203,1,-1,-1,0,unknown,no
204,6,-1,-1,0,unknown,no
205,3,-1,-1,0,unknown,yes
206,1,152,152,1,failure,no
207,7,-1,-1,0,unknown,no
208,1,-1,-1,0,unknown,no
209,2,-1,-1,0,unknown,no
210,1,332,332,3,failure,no
211,2,178,178,6,failure,no
212,1,-1,-1,0,unknown,no
213,1,-1,-1,0,unknown,no
214,15,-1,-1,0,unknown,no
215,2,183,183,2,failure,no
216,5,-1,-1,0,unknown,no
217,1,-1,-1,0,unknown,no
218,1,-1,-1,0,unknown,no
219,1,-1,-1,0,unknown,no
220,1,-1,-1,0,unknown,no
221,1,-1,-1,0,unknown,no
222,1,-1,-1,0,unknown,no
223,1,-1,-1,0,unknown,no
224,1,20,20,5,failure,no
225,4,30,30,1,failure,no
226,2,-1,-1,0,unknown,no
227,2,-1,-1,0,unknown,no
228,1,-1,-1,0,unknown,no
229,2,-1,-1,0,unknown,no
230,1,-1,-1,0,unknown,no
231,4,-1,-1,0,unknown,no
232,2,-1,-1,0,unknown,no
233,1,-1,-1,0,unknown,no
234,2,-1,-1,0,unknown,no
235,2,-1,-1,0,unknown,no
236,5,-1,-1,0,unknown,no
237,8,-1,-1,0,unknown,no
238,3,-1,-1,0,unknown,no
239,2,151,151,3,failure,no
240,1,-1,-1,0,unknown,no
241,4,188,188,8,other,no
242,4,-1,-1,0,unknown,no
243,1,-1,-1,0,unknown,no
244,1,-1,-1,0,unknown,no
245,2,-1,-1,0,unknown,no
246,1,-1,-1,0,unknown,no
247,1,-1,-1,0,unknown,no
248,3,178,178,7,failure,yes
249,1,-1,-1,0,unknown,no
250,1,-1,-1,0,unknown,no
251,1,-1,-1,0,unknown,no
252,2,-1,-1,0,unknown,yes
253,1,83,83,1,success,no
254,1,-1,-1,0,unknown,no
255,1,-1,-1,0,unknown,no
256,8,-1,-1,0,unknown,no
257,2,-1,-1,0,unknown,no
258,5,-1,-1,0,unknown,no
259,1,-1,-1,0,unknown,yes
260,1,-1,-1,0,unknown,no
261,1,-1,-1,0,unknown,no
262,11,-1,-1,0,unknown,no
263,2,263,263,7,failure,no
264,2,-1,-1,0,unknown,no
265,1,-1,-1,0,unknown,no
266,1,-1,-1,0,unknown,no
267,3,-1,-1,0,unknown,no
268,1,-1,-1,0,unknown,no
269,1,-1,-1,0,unknown,no
270,1,-1,-1,0,unknown,no
271,8,-1,-1,0,unknown,no
272,5,-1,-1,0,unknown,no
273,1,-1,-1,0,unknown,no
274,4,115,115,6,failure,no
275,1,-1,-1,0,unknown,no
276,2,-1,-1,0,unknown,no
277,1,-1,-1,0,unknown,no
278,1,-1,-1,0,unknown,no
279,1,-1,-1,0,unknown,no
280,4,174,174,1,failure,no
281,1,-1,-1,0,unknown,no
282,2,-1,-1,0,unknown,no
283,4,-1,-1,0,unknown,no
284,2,-1,-1,0,unknown,no
285,2,-1,-1,0,unknown,no
286,1,-1,-1,0,unknown,no
287,1,91,91,1,success,no
288,1,83,83,1,failure,no
289,3,-1,-1,0,unknown,no
290,5,-1,-1,0,unknown,no
291,1,273,273,3,failure,no
292,16,-1,-1,0,unknown,no
293,1,-1,-1,0,unknown,no
294,1,-1,-1,0,unknown,yes
295,2,-1,-1,0,unknown,no
296,1,-1,-1,0,unknown,no
297,1,192,192,1,failure,no
298,1,-1,-1,0,unknown,no
299,2,-1,-1,0,unknown,no
300,1,314,314,2,failure,no
301,4,-1,-1,0,unknown,no
302,1,-1,-1,0,unknown,no
303,3,-1,-1,0,unknown,no
304,2,-1,-1,0,unknown,no
305,8,-1,-1,0,unknown,no
306,8,-1,-1,0,unknown,yes
307,2,-1,-1,0,unknown,no
308,2,270,270,2,failure,no
309,1,100,100,1,failure,no
310,3,-1,-1,0,unknown,no
311,2,-1,-1,0,unknown,no
312,2,-1,-1,0,unknown,no
313,2,-1,-1,0,unknown,no
314,9,-1,-1,0,unknown,no
315,4,-1,-1,0,unknown,no
316,5,-1,-1,0,unknown,no
317,3,-1,-1,0,unknown,no
318,2,-1,-1,0,unknown,no
319,4,-1,-1,0,unknown,no
320,2,-1,-1,0,unknown,no
321,1,153,153,4,failure,no
322,3,342,342,1,other,no
323,3,10,10,1,failure,yes
324,3,-1,-1,0,unknown,no
325,6,-1,-1,0,unknown,no
326,1,-1,-1,0,unknown,no
327,2,-1,-1,0,unknown,no
328,2,-1,-1,0,unknown,no
329,3,-1,-1,0,unknown,yes
330,5,-1,-1,0,unknown,no
331,3,-1,-1,0,unknown,no
332,8,-1,-1,0,unknown,no
333,8,-1,-1,0,unknown,yes
334,2,264,264,2,failure,no
335,4,-1,-1,0,unknown,no
336,3,-1,-1,0,unknown,no
337,2,-1,-1,0,unknown,no
338,3,-1,-1,0,unknown,no
339,3,-1,-1,0,unknown,no
340,2,-1,-1,0,unknown,no
341,3,339,339,2,failure,no
342,7,-1,-1,0,unknown,no
343,1,-1,-1,0,unknown,no
344,30,-1,-1,0,unknown,no
345,1,-1,-1,0,unknown,no
346,1,-1,-1,0,unknown,no
347,2,196,196,4,failure,no
348,1,-1,-1,0,unknown,no
349,1,-1,-1,0,unknown,no
350,2,-1,-1,0,unknown,no
351,1,-1,-1,0,unknown,no
352,1,-1,-1,0,unknown,no
353,1,-1,-1,0,unknown,no
354,6,-1,-1,0,unknown,no
355,2,-1,-1,0,unknown,no
356,1,-1,-1,0,unknown,yes
357,1,-1,-1,0,unknown,no
358,2,189,189,1,failure,no
359,2,-1,-1,0,unknown,no
360,1,-1,-1,0,unknown,no
361,1,84,84,1,failure,no
362,2,-1,-1,0,unknown,no
363,8,-1,-1,0,unknown,no
364,1,95,95,1,success,yes
365,2,-1,-1,0,unknown,no
366,5,-1,-1,0,unknown,no
367,5,-1,-1,0,unknown,no
368,2,-1,-1,0,unknown,no
369,1,335,335,1,other,no
370,1,-1,-1,0,unknown,no
371,1,-1,-1,0,unknown,no
372,3,-1,-1,0,unknown,no
373,1,-1,-1,0,unknown,no
374,1,-1,-1,0,unknown,no
375,3,-1,-1,0,unknown,no
376,2,-1,-1,0,unknown,no
377,2,-1,-1,0,unknown,no
378,3,-1,-1,0,unknown,no
379,3,125,125,2,other,no
380,3,-1,-1,0,unknown,no
381,2,-1,-1,0,unknown,no
382,4,-1,-1,0,unknown,no
383,2,-1,-1,0,unknown,no
384,6,-1,-1,0,unknown,no
385,1,-1,-1,0,unknown,yes
386,2,-1,-1,0,unknown,no
387,1,90,90,1,other,no
388,13,-1,-1,0,unknown,yes
389,5,-1,-1,0,unknown,no
390,2,-1,-1,0,unknown,no
391,5,-1,-1,0,unknown,no
392,1,-1,-1,0,unknown,no
393,4,-1,-1,0,unknown,no
394,2,-1,-1,0,unknown,no
395,1,-1,-1,0,unknown,no
396,3,-1,-1,0,unknown,no
397,1,94,94,2,other,no
398,1,-1,-1,0,unknown,no
399,6,-1,-1,0,unknown,no
400,2,-1,-1,0,unknown,no
401,4,-1,-1,0,unknown,yes
402,1,-1,-1,0,unknown,no
403,2,-1,-1,0,unknown,no
404,22,-1,-1,0,unknown,no
405,2,-1,-1,0,unknown,no
406,4,-1,-1,0,unknown,yes
407,1,-1,-1,0,unknown,no
408,4,-1,-1,0,unknown,no
409,1,-1,-1,0,unknown,no
410,6,-1,-1,0,unknown,no
411,2,35,35,4,failure,yes
412,2,-1,-1,0,unknown,no
413,2,10,10,7,failure,yes
414,2,363,363,5,failure,no
415,7,-1,-1,0,unknown,no
416,2,-1,-1,0,unknown,no
417,2,-1,-1,0,unknown,no
418,5,-1,-1,0,unknown,no
419,2,-1,-1,0,unknown,no
420,1,-1,-1,0,unknown,no
421,5,-1,-1,0,unknown,no
422,2,-1,-1,0,unknown,no
423,2,348,348,2,failure,no
424,1,305,305,1,other,yes
425,1,100,100,2,failure,no
426,2,-1,-1,0,unknown,no
427,1,-1,-1,0,unknown,no
428,1,97,97,1,success,no
429,5,-1,-1,0,unknown,no
430,1,-1,-1,0,unknown,no
431,1,-1,-1,0,unknown,no
432,1,-1,-1,0,unknown,yes
433,5,-1,-1,0,unknown,no
434,3,-1,-1,0,unknown,no
435,3,-1,-1,0,unknown,no
436,2,-1,-1,0,unknown,yes
437,2,-1,-1,0,unknown,no
438,2,-1,-1,0,unknown,no
439,2,-1,-1,0,unknown,no
440,2,-1,-1,0,unknown,no
441,2,-1,-1,0,unknown,no
442,2,21,21,3,failure,yes
443,3,-1,-1,0,unknown,no
444,6,-1,-1,0,unknown,no
445,2,-1,-1,0,unknown,no
446,5,-1,-1,0,unknown,no
447,3,111,111,6,failure,no
448,2,-1,-1,0,unknown,no
449,1,104,104,2,failure,no
450,2,19,19,3,failure,no
451,1,306,306,8,failure,no
452,4,-1,-1,0,unknown,no
453,3,-1,-1,0,unknown,no
454,8,-1,-1,0,unknown,no
455,2,270,270,5,failure,no
456,4,343,343,3,other,no
457,9,-1,-1,0,unknown,no
458,7,-1,-1,0,unknown,no
459,12,-1,-1,0,unknown,no
460,1,321,321,1,failure,no
461,4,-1,-1,0,unknown,no
462,1,40,40,1,failure,no
463,6,-1,-1,0,unknown,no
464,17,-1,-1,0,unknown,no
465,16,-1,-1,0,unknown,no
466,6,-1,-1,0,unknown,no
467,3,-1,-1,0,unknown,no
468,4,-1,-1,0,unknown,no
469,10,-1,-1,0,unknown,no
470,17,-1,-1,0,unknown,no
471,12,-1,-1,0,unknown,no
472,2,-1,-1,0,unknown,no
473,3,-1,-1,0,unknown,no
474,21,-1,-1,0,unknown,no
475,23,-1,-1,0,unknown,no
476,1,-1,-1,0,unknown,no
477,4,196,196,1,other,no
478,1,-1,-1,0,unknown,no
479,1,-1,-1,0,unknown,no
480,6,188,188,2,failure,no
481,5,-1,-1,0,unknown,no
482,1,190,190,4,other,no
483,1,98,98,3,other,no
484,3,-1,-1,0,unknown,no
485,2,-1,-1,0,unknown,no
486,1,-1,-1,0,unknown,no
487,2,-1,-1,0,unknown,no
488,3,-1,-1,0,unknown,no
489,1,-1,-1,0,unknown,no
490,1,74,74,4,failure,no
491,15,-1,-1,0,unknown,no
492,2,-1,-1,0,unknown,no
493,8,-1,-1,0,unknown,no
494,2,-1,-1,0,unknown,no
495,1,-1,-1,0,unknown,no
496,8,190,190,3,success,no
497,6,153,153,26,failure,no
498,1,-1,-1,0,unknown,no
499,2,-1,-1,0,unknown,no
500,1,18,18,3,failure,no
501,8,-1,-1,0,unknown,no
502,8,-1,-1,0,unknown,no
503,2,-1,-1,0,unknown,no
504,1,-1,-1,0,unknown,no
505,1,-1,-1,0,unknown,no
506,2,-1,-1,0,unknown,no
507,1,185,185,1,other,no
508,1,-1,-1,0,unknown,no
509,1,35,35,2,failure,yes
510,10,-1,-1,0,unknown,no
511,4,-1,-1,0,unknown,no
512,5,-1,-1,0,unknown,no
513,1,-1,-1,0,unknown,no
514,15,-1,-1,0,unknown,no
515,2,-1,-1,0,unknown,no
516,1,-1,-1,0,unknown,no
517,3,-1,-1,0,unknown,no
518,1,-1,-1,0,unknown,no
519,2,171,171,3,failure,no
520,1,-1,-1,0,unknown,no
521,2,151,151,2,failure,no
522,2,-1,-1,0,unknown,no
523,2,-1,-1,0,unknown,no
524,2,150,150,3,other,no
525,1,-1,-1,0,unknown,yes
526,5,-1,-1,0,unknown,no
527,2,-1,-1,0,unknown,no
528,2,-1,-1,0,unknown,no
529,2,-1,-1,0,unknown,no
530,5,-1,-1,0,unknown,no
531,2,-1,-1,0,unknown,no
532,1,-1,-1,0,unknown,no
533,2,-1,-1,0,unknown,no
534,1,-1,-1,0,unknown,no
535,2,-1,-1,0,unknown,no
536,3,106,106,2,failure,no
537,4,-1,-1,0,unknown,no
538,4,-1,-1,0,unknown,no
539,3,-1,-1,0,unknown,no
540,9,-1,-1,0,unknown,no
541,7,-1,-1,0,unknown,no
542,3,-1,-1,0,unknown,no
543,1,-1,-1,0,unknown,no
544,3,150,150,10,failure,no
545,2,-1,-1,0,unknown,no
546,6,-1,-1,0,unknown,no
547,5,-1,-1,0,unknown,no
548,7,-1,-1,0,unknown,no
549,2,-1,-1,0,unknown,no
550,3,183,183,1,failure,no
551,2,-1,-1,0,unknown,no
552,1,-1,-1,0,unknown,no
553,3,-1,-1,0,unknown,no
554,3,-1,-1,0,unknown,no
555,1,-1,-1,0,unknown,no
556,1,272,272,4,failure,no
557,3,-1,-1,0,unknown,no
558,3,-1,-1,0,unknown,no
559,3,-1,-1,0,unknown,no
560,1,305,305,1,success,no
561,2,-1,-1,0,unknown,no
562,5,-1,-1,0,unknown,no
563,2,-1,-1,0,unknown,no
564,4,-1,-1,0,unknown,no
565,2,154,154,1,failure,no
566,1,-1,-1,0,unknown,no
567,4,-1,-1,0,unknown,no
568,2,318,318,3,failure,no
569,3,-1,-1,0,unknown,no
570,3,-1,-1,0,unknown,no
571,4,-1,-1,0,unknown,no
572,1,-1,-1,0,unknown,yes
573,2,-1,-1,0,unknown,no
574,7,-1,-1,0,unknown,no
575,2,-1,-1,0,unknown,no
576,2,-1,-1,0,unknown,no
577,7,133,133,1,failure,no
578,2,-1,-1,0,unknown,no
579,1,40,40,2,failure,yes
580,1,-1,-1,0,unknown,no
581,1,-1,-1,0,unknown,no
582,2,-1,-1,0,unknown,no
583,3,-1,-1,0,unknown,no
584,3,-1,-1,0,unknown,no
585,3,-1,-1,0,unknown,no
586,3,-1,-1,0,unknown,no
587,2,189,189,1,failure,no
588,4,-1,-1,0,unknown,no
589,4,-1,-1,0,unknown,no
590,1,-1,-1,0,unknown,no
591,5,-1,-1,0,unknown,no
592,4,363,363,5,failure,no
593,2,-1,-1,0,unknown,no
594,2,-1,-1,0,unknown,no
595,3,-1,-1,0,unknown,no
596,2,-1,-1,0,unknown,no
597,3,269,269,2,other,no
598,1,-1,-1,0,unknown,no
599,8,-1,-1,0,unknown,no
600,1,189,189,2,failure,no
601,1,326,326,1,other,no
602,5,-1,-1,0,unknown,no
603,3,-1,-1,0,unknown,no
604,3,-1,-1,0,unknown,no
605,1,-1,-1,0,unknown,no
606,2,150,150,5,failure,no
607,3,-1,-1,0,unknown,no
608,3,-1,-1,0,unknown,no
609,3,-1,-1,0,unknown,no
610,6,-1,-1,0,unknown,no
611,3,-1,-1,0,unknown,no
612,2,157,157,1,failure,no
613,31,-1,-1,0,unknown,no
614,2,-1,-1,0,unknown,no
615,12,-1,-1,0,unknown,no
616,4,-1,-1,0,unknown,no
617,2,98,98,1,other,no
618,6,-1,-1,0,unknown,no
619,4,-1,-1,0,unknown,no
620,8,-1,-1,0,unknown,no
621,7,-1,-1,0,unknown,no
622,3,-1,-1,0,unknown,no
623,3,-1,-1,0,unknown,yes
624,10,-1,-1,0,unknown,no
625,1,-1,-1,0,unknown,no
626,5,-1,-1,0,unknown,no
627,4,-1,-1,0,unknown,yes
628,3,-1,-1,0,unknown,no
629,4,-1,-1,0,unknown,no
630,3,-1,-1,0,unknown,no
631,5,-1,-1,0,unknown,no
632,15,-1,-1,0,unknown,no
633,4,-1,-1,0,unknown,no
634,2,332,332,6,failure,no
635,2,177,177,2,failure,no
636,2,-1,-1,0,unknown,no
637,2,-1,-1,0,unknown,no
638,5,-1,-1,0,unknown,no
639,2,181,181,4,failure,no
640,2,-1,-1,0,unknown,no
641,3,-1,-1,0,unknown,no
642,1,-1,-1,0,unknown,no
643,2,-1,-1,0,unknown,no
644,8,-1,-1,0,unknown,no
645,2,167,167,1,failure,no
646,3,183,183,3,failure,no
647,4,-1,-1,0,unknown,no
648,3,-1,-1,0,unknown,no
649,2,-1,-1,0,unknown,no
650,2,98,98,1,success,no
651,4,-1,-1,0,unknown,no
652,2,-1,-1,0,unknown,no
653,5,-1,-1,0,unknown,no
654,2,-1,-1,0,unknown,no
655,1,-1,-1,0,unknown,no
656,3,-1,-1,0,unknown,no
657,3,-1,-1,0,unknown,no
658,4,-1,-1,0,unknown,no
659,1,-1,-1,0,unknown,no
660,2,-1,-1,0,unknown,no
661,2,-1,-1,0,unknown,no
662,3,-1,-1,0,unknown,no
663,2,-1,-1,0,unknown,no
664,1,-1,-1,0,unknown,no
665,2,-1,-1,0,unknown,no
666,2,-1,-1,0,unknown,no
667,1,-1,-1,0,unknown,no
668,2,-1,-1,0,unknown,no
669,2,-1,-1,0,unknown,no
670,2,-1,-1,0,unknown,no
671,10,-1,-1,0,unknown,no
672,2,-1,-1,0,unknown,no
673,4,-1,-1,0,unknown,no
674,7,-1,-1,0,unknown,no
675,7,-1,-1,0,unknown,no
676,4,-1,-1,0,unknown,no
677,2,-1,-1,0,unknown,no
678,3,-1,-1,0,unknown,no
679,2,-1,-1,0,unknown,no
680,2,-1,-1,0,unknown,no
681,10,-1,-1,0,unknown,no
682,1,-1,-1,0,unknown,yes
683,1,-1,-1,0,unknown,no
684,3,189,189,2,failure,no
685,4,-1,-1,0,unknown,no
686,2,-1,-1,0,unknown,no
687,20,-1,-1,0,unknown,no
688,2,-1,-1,0,unknown,no
689,1,-1,-1,0,unknown,no
690,2,-1,-1,0,unknown,no
691,3,-1,-1,0,unknown,no
692,1,-1,-1,0,unknown,no
693,5,-1,-1,0,unknown,no
694,5,-1,-1,0,unknown,no
695,7,-1,-1,0,unknown,no
696,6,-1,-1,0,unknown,no
697,8,-1,-1,0,unknown,no
698,2,156,156,2,failure,no
699,1,-1,-1,0,unknown,no
700,7,-1,-1,0,unknown,no
701,1,-1,-1,0,unknown,no
702,1,285,285,4,success,no
703,1,-1,-1,0,unknown,no
704,3,-1,-1,0,unknown,no
705,2,-1,-1,0,unknown,no
706,3,-1,-1,0,unknown,no
707,3,358,358,2,failure,no
708,15,-1,-1,0,unknown,no
709,1,105,105,1,success,no
710,2,-1,-1,0,unknown,no
711,3,-1,-1,0,unknown,no
712,1,152,152,2,failure,no
713,18,-1,-1,0,unknown,no
714,1,-1,-1,0,unknown,yes
715,2,96,96,3,other,yes
716,1,-1,-1,0,unknown,no
717,6,-1,-1,0,unknown,no
718,1,-1,-1,0,unknown,yes
719,3,-1,-1,0,unknown,no
720,14,-1,-1,0,unknown,no
721,1,29,29,1,failure,no
722,7,-1,-1,0,unknown,no
723,3,-1,-1,0,unknown,no
724,9,-1,-1,0,unknown,no
725,4,-1,-1,0,unknown,no
726,12,-1,-1,0,unknown,no
727,1,-1,-1,0,unknown,no
728,1,-1,-1,0,unknown,no
729,17,-1,-1,0,unknown,no
730,11,-1,-1,0,unknown,no
731,3,8,8,1,failure,no
732,9,112,112,37,other,no
733,5,-1,-1,0,unknown,no
734,3,-1,-1,0,unknown,no
735,2,-1,-1,0,unknown,no
736,6,-1,-1,0,unknown,no
737,3,-1,-1,0,unknown,no
738,4,-1,-1,0,unknown,no
739,7,-1,-1,0,unknown,no
740,2,-1,-1,0,unknown,no
741,2,174,174,3,failure,no
742,1,-1,-1,0,unknown,no
743,1,346,346,1,failure,no
744,4,-1,-1,0,unknown,no
745,1,150,150,9,other,no
746,3,-1,-1,0,unknown,no
747,4,-1,-1,0,unknown,no
748,1,-1,-1,0,unknown,no
749,12,-1,-1,0,unknown,no
750,3,-1,-1,0,unknown,no
751,3,-1,-1,0,unknown,no
752,12,-1,-1,0,unknown,no
753,2,-1,-1,0,unknown,no
754,3,-1,-1,0,unknown,no
755,4,-1,-1,0,unknown,no
756,11,-1,-1,0,unknown,no
757,5,-1,-1,0,unknown,no
758,2,-1,-1,0,unknown,no
759,3,340,340,2,other,no
760,4,-1,-1,0,unknown,no
761,2,-1,-1,0,unknown,no
762,3,185,185,7,failure,no
763,4,-1,-1,0,unknown,no
764,3,-1,-1,0,unknown,no
765,7,-1,-1,0,unknown,no
766,11,-1,-1,0,unknown,no
767,3,-1,-1,0,unknown,no
768,1,-1,-1,0,unknown,no
769,1,347,347,1,failure,no
770,2,-1,-1,0,unknown,no
771,3,-1,-1,0,unknown,no
772,3,-1,-1,0,unknown,no
773,5,-1,-1,0,unknown,no
774,3,-1,-1,0,unknown,no
775,4,-1,-1,0,unknown,no
776,12,-1,-1,0,unknown,no
777,1,-1,-1,0,unknown,no
778,6,177,177,16,other,no
779,4,-1,-1,0,unknown,no
780,2,-1,-1,0,unknown,no
781,2,-1,-1,0,unknown,no
782,1,113,113,1,failure,no
783,3,-1,-1,0,unknown,no
784,6,-1,-1,0,unknown,no
785,6,-1,-1,0,unknown,no
786,1,-1,-1,0,unknown,no
787,2,-1,-1,0,unknown,no
788,3,-1,-1,0,unknown,no
789,4,-1,-1,0,unknown,no
790,1,334,334,1,failure,no
791,1,-1,-1,0,unknown,no
792,11,-1,-1,0,unknown,no
793,6,-1,-1,0,unknown,no
794,2,-1,-1,0,unknown,no
795,6,-1,-1,0,unknown,no
796,1,98,98,2,failure,no
