index,contact,day,month,duration
70,cellular,25,jul,150.0
71,cellular,25,jul,250.0
72,cellular,25,jul,946.0
73,cellular,25,jul,83.0
74,cellular,20,nov,156.0
75,cellular,25,jul,137.0
76,cellular,20,nov,841.0
77,cellular,25,jul,237.0
78,telephone,25,jul,282.0
79,cellular,25,jul,41.0
80,cellular,20,apr,198.0
81,cellular,25,jul,23.0
82,cellular,25,jul,135.0
83,cellular,25,jul,245.0
84,cellular,25,jul,460.0
85,cellular,20,apr,253.0
86,cellular,25,jul,1369.0
87,cellular,25,jul,481.0
88,cellular,25,jul,188.0
89,cellular,20,nov,88.0
90,cellular,20,nov,279.0
91,cellular,27,may,112.0
92,telephone,25,jul,163.0
93,cellular,25,jul,386.0
94,cellular,25,jul,198.0
95,cellular,25,jul,65.0
96,cellular,25,jul,96.0
97,telephone,20,apr,151.0
98,cellular,27,may,183.0
99,cellular,28,jul,55.0
100,telephone,28,jul,193.0
101,cellular,28,jul,104.0
102,cellular,20,nov,179.0
103,cellular,28,jul,164.0
104,cellular,28,jul,50.0
105,cellular,28,jul,126.0
106,cellular,26,may,129.0
107,cellular,26,may,175.0
108,cellular,20,apr,149.0
109,cellular,20,nov,198.0
110,cellular,20,nov,129.0
111,cellular,28,jul,367.0
112,cellular,20,nov,224.0
113,cellular,27,may,161.0
114,cellular,27,may,189.0
115,cellular,28,jul,49.0
116,cellular,20,nov,157.0
117,cellular,28,jul,551.0
118,cellular,28,jul,78.0
119,cellular,28,jul,173.0
120,cellular,28,jul,230.0
121,cellular,20,nov,182.0
122,cellular,20,nov,386.0
123,telephone,28,jul,228.0
124,cellular,20,nov,206.0
125,cellular,28,jul,163.0
126,telephone,28,jul,66.0
127,cellular,28,jul,292.0
128,cellular,20,nov,43.0
129,cellular,28,jul,63.0
130,cellular,20,nov,352.0
131,cellular,20,apr,129.0
132,cellular,28,jul,143.0
133,cellular,28,jul,263.0
134,cellular,28,jul,143.0
135,cellular,20,nov,262.0
136,cellular,20,apr,379.0
137,cellular,20,apr,42.0
138,cellular,20,nov,104.0
139,telephone,28,jul,59.0
140,cellular,28,jul,103.0
141,cellular,28,jul,273.0
142,cellular,20,nov,128.0
143,cellular,28,jul,70.0
144,telephone,28,jul,388.0
145,cellular,20,nov,165.0
146,telephone,20,nov,105.0
147,cellular,20,nov,133.0
148,cellular,28,jul,53.0
149,cellular,20,nov,434.0
150,cellular,28,jul,194.0
151,cellular,28,jul,664.0
152,cellular,27,may,122.0
153,cellular,28,jul,61.0
154,cellular,28,jul,151.0
155,cellular,27,may,133.0
156,cellular,20,apr,430.0
157,cellular,28,jul,219.0
158,cellular,20,apr,224.0
159,cellular,27,may,136.0
160,telephone,28,jul,265.0
161,telephone,28,jul,302.0
162,cellular,28,jul,228.0
163,cellular,28,jul,463.0
164,cellular,28,jul,131.0
165,cellular,28,jul,699.0
166,cellular,28,jul,117.0
167,cellular,20,apr,151.0
168,cellular,20,apr,170.0
169,cellular,27,may,224.0
170,cellular,28,jul,110.0
171,cellular,28,jul,20.0
172,cellular,20,nov,470.0
173,cellular,28,jul,88.0
174,cellular,28,jul,68.0
175,cellular,20,apr,107.0
176,cellular,20,nov,642.0
177,telephone,28,jul,121.0
178,cellular,28,jul,84.0
179,cellular,28,jul,139.0
180,telephone,28,jul,148.0
181,cellular,27,may,145.0
182,cellular,20,apr,205.0
183,cellular,27,may,74.0
184,cellular,20,nov,214.0
185,telephone,27,may,108.0
186,cellular,28,jul,174.0
187,cellular,28,jul,200.0
188,cellular,28,jul,219.0
189,cellular,28,jul,745.0
190,cellular,20,nov,155.0
191,cellular,28,jul,746.0
192,cellular,28,jul,362.0
193,cellular,28,jul,73.0
194,cellular,28,jul,54.0
195,cellular,28,jul,307.0
196,cellular,20,nov,1145.0
197,cellular,20,nov,148.0
198,cellular,20,nov,329.0
199,cellular,20,apr,190.0
200,cellular,25,jul,936.0
201,cellular,25,jul,171.0
202,cellular,20,nov,168.0
203,cellular,25,jul,560.0
204,telephone,20,nov,713.0
205,cellular,20,nov,2420.0
206,cellular,20,apr,715.0
207,cellular,25,jul,18.0
208,cellular,25,jul,49.0
209,cellular,25,jul,102.0
210,cellular,20,apr,157.0
211,cellular,20,nov,292.0
212,cellular,20,apr,44.0
213,cellular,25,jul,98.0
214,telephone,25,jul,59.0
215,cellular,20,nov,232.0
216,cellular,25,jul,188.0
217,cellular,25,jul,63.0
218,cellular,20,apr,6.0
219,cellular,25,jul,246.0
220,telephone,25,jul,110.0
221,cellular,25,jul,571.0
222,cellular,25,jul,214.0
223,cellular,25,jul,227.0
224,cellular,1,jun,119.0
225,cellular,20,nov,197.0
226,cellular,20,nov,257.0
227,cellular,1,jun,244.0
228,cellular,20,apr,72.0
229,cellular,25,jul,800.0
230,cellular,20,apr,334.0
231,telephone,25,jul,102.0
232,cellular,25,jul,184.0
233,cellular,25,jul,203.0
234,cellular,25,jul,335.0
235,cellular,25,jul,94.0
236,cellular,25,jul,132.0
237,cellular,25,jul,236.0
238,cellular,20,nov,332.0
239,cellular,20,apr,87.0
240,cellular,25,jul,1106.0
241,cellular,20,nov,194.0
242,cellular,20,nov,233.0
243,cellular,1,jun,353.0
244,cellular,25,jul,1269.0
245,cellular,25,jul,168.0
246,telephone,25,jul,182.0
247,cellular,25,jul,95.0
248,cellular,20,nov,1341.0
249,cellular,25,jul,226.0
250,cellular,25,jul,175.0
251,cellular,25,jul,226.0
252,cellular,20,nov,945.0
253,cellular,1,jun,128.0
254,cellular,25,jul,803.0
255,cellular,20,apr,222.0
256,cellular,20,nov,367.0
257,cellular,1,jun,87.0
258,cellular,25,jul,57.0
259,cellular,25,jul,735.0
260,cellular,25,jul,51.0
261,cellular,25,jul,335.0
262,cellular,25,jul,137.0
263,cellular,20,apr,138.0
264,cellular,20,nov,370.0
265,cellular,25,jul,361.0
266,cellular,1,jun,262.0
267,cellular,20,nov,766.0
268,cellular,25,jul,310.0
269,cellular,25,jul,305.0
270,cellular,25,jul,294.0
271,cellular,25,jul,173.0
272,cellular,25,jul,136.0
273,cellular,25,jul,198.0
274,telephone,20,nov,233.0
275,cellular,25,jul,54.0
276,cellular,25,jul,720.0
277,cellular,25,jul,172.0
278,cellular,25,jul,40.0
279,cellular,20,apr,206.0
280,cellular,20,nov,167.0
281,cellular,25,jul,50.0
282,cellular,25,jul,246.0
283,cellular,25,jul,86.0
284,cellular,25,jul,112.0
285,cellular,25,jul,79.0
286,telephone,25,jul,241.0
287,cellular,1,jun,106.0
288,cellular,1,jun,144.0
289,cellular,20,nov,693.0
290,cellular,25,jul,65.0
291,cellular,20,apr,54.0
292,cellular,25,jul,137.0
293,cellular,25,jul,134.0
294,cellular,25,jul,862.0
295,cellular,25,jul,112.0
296,cellular,25,jul,218.0
297,cellular,1,jun,128.0
298,cellular,25,jul,256.0
299,cellular,20,nov,95.0
300,cellular,1,jun,129.0
301,cellular,25,jul,238.0
302,cellular,25,jul,148.0
303,cellular,20,nov,151.0
304,cellular,20,nov,399.0
305,cellular,28,may,568.0
306,cellular,25,jul,1031.0
307,telephone,25,jul,259.0
308,cellular,20,apr,181.0
309,cellular,28,may,77.0
310,cellular,25,jul,84.0
311,cellular,25,jul,268.0
312,cellular,25,jul,147.0
313,cellular,20,apr,148.0
314,cellular,25,jul,356.0
315,cellular,25,jul,155.0
316,telephone,25,jul,702.0
317,cellular,25,jul,141.0
318,telephone,20,nov,90.0
319,cellular,20,apr,23.0
320,cellular,25,jul,102.0
321,cellular,20,apr,222.0
322,cellular,20,apr,59.0
323,cellular,28,may,188.0
324,cellular,20,nov,117.0
325,cellular,25,jul,266.0
326,telephone,20,apr,368.0
327,cellular,25,jul,295.0
328,cellular,25,jul,194.0
329,cellular,25,jul,1330.0
330,cellular,25,jul,587.0
331,cellular,20,nov,611.0
332,telephone,25,jul,72.0
333,cellular,25,jul,590.0
334,cellular,20,apr,328.0
335,cellular,25,jul,293.0
336,cellular,25,jul,211.0
337,cellular,25,jul,394.0
338,cellular,25,jul,356.0
339,cellular,20,apr,114.0
340,cellular,25,jul,124.0
341,cellular,20,apr,247.0
342,cellular,25,jul,161.0
343,cellular,25,jul,273.0
344,cellular,25,jul,72.0
345,cellular,25,jul,396.0
346,cellular,25,jul,270.0
347,cellular,20,nov,315.0
348,cellular,25,jul,134.0
349,cellular,20,apr,108.0
350,cellular,20,nov,68.0
351,cellular,25,jul,142.0
352,telephone,25,jul,120.0
353,cellular,25,jul,110.0
354,cellular,25,jul,311.0
355,cellular,25,jul,211.0
356,cellular,1,jun,264.0
357,cellular,25,jul,796.0
358,cellular,20,nov,361.0
359,cellular,25,jul,471.0
360,cellular,25,jul,97.0
361,cellular,1,jun,190.0
362,cellular,25,jul,337.0
363,cellular,20,nov,378.0
364,cellular,1,jun,205.0
365,telephone,25,jul,394.0
366,cellular,25,jul,67.0
367,cellular,25,jul,132.0
368,cellular,25,jul,135.0
369,cellular,20,apr,38.0
370,cellular,20,apr,245.0
371,cellular,20,apr,9.0
372,cellular,20,nov,217.0
373,telephone,25,jul,417.0
374,cellular,1,jun,71.0
375,cellular,25,jul,39.0
376,cellular,25,jul,241.0
377,cellular,20,nov,110.0
378,cellular,25,jul,90.0
379,cellular,20,nov,136.0
380,cellular,20,nov,591.0
381,telephone,25,jul,657.0
382,cellular,20,apr,297.0
383,cellular,28,may,61.0
384,cellular,20,nov,355.0
385,cellular,25,jul,2015.0
386,cellular,20,nov,231.0
387,telephone,28,may,71.0
388,cellular,25,jul,743.0
389,cellular,25,jul,53.0
390,cellular,25,jul,568.0
391,cellular,25,jul,102.0
392,cellular,25,jul,184.0
393,cellular,20,nov,251.0
394,cellular,20,nov,341.0
395,cellular,25,jul,163.0
396,cellular,20,nov,106.0
397,cellular,1,jun,108.0
398,telephone,25,jul,87.0
399,telephone,28,jul,122.0
400,cellular,28,jul,35.0
401,telephone,28,jul,596.0
402,cellular,20,nov,47.0
403,cellular,20,apr,237.0
404,cellular,29,jul,25.0
405,telephone,29,jul,165.0
406,cellular,25,may,615.0
407,cellular,20,apr,378.0
408,cellular,29,jul,189.0
409,cellular,20,nov,361.0
410,cellular,29,jul,179.0
411,cellular,25,may,414.0
412,cellular,20,nov,67.0
413,cellular,25,may,601.0
414,cellular,26,may,133.0
415,cellular,29,jul,122.0
416,cellular,29,jul,145.0
417,telephone,20,nov,107.0
418,telephone,29,jul,7.0
419,cellular,29,jul,375.0
420,cellular,20,nov,140.0
421,cellular,29,jul,90.0
422,cellular,20,nov,294.0
423,cellular,20,apr,177.0
424,cellular,25,may,214.0
425,cellular,20,nov,165.0
426,cellular,20,nov,470.0
427,cellular,25,may,217.0
428,cellular,25,may,531.0
429,cellular,29,jul,299.0
430,cellular,25,may,214.0
431,cellular,25,may,143.0
432,cellular,25,may,377.0
433,cellular,29,jul,70.0
434,cellular,29,jul,55.0
435,cellular,29,jul,70.0
436,cellular,25,may,158.0
437,cellular,29,jul,336.0
438,cellular,20,nov,149.0
439,cellular,20,apr,106.0
440,cellular,29,jul,124.0
441,cellular,25,may,123.0
442,cellular,25,may,117.0
443,cellular,29,jul,102.0
444,cellular,29,jul,164.0
445,cellular,29,jul,129.0
446,cellular,20,apr,28.0
447,cellular,25,may,166.0
448,cellular,29,jul,116.0
449,cellular,26,may,135.0
450,cellular,26,may,293.0
451,cellular,25,may,217.0
452,cellular,20,apr,16.0
453,cellular,29,jul,117.0
454,cellular,29,jul,62.0
455,cellular,20,apr,113.0
456,cellular,20,apr,15.0
457,telephone,29,jul,480.0
458,cellular,29,jul,119.0
459,cellular,29,jul,178.0
460,cellular,20,apr,165.0
461,cellular,29,jul,82.0
462,cellular,26,may,302.0
463,cellular,29,jul,88.0
464,telephone,29,jul,345.0
465,cellular,29,jul,54.0
466,telephone,29,jul,121.0
467,cellular,29,jul,393.0
468,cellular,29,jul,215.0
469,cellular,29,jul,193.0
470,cellular,29,jul,38.0
471,cellular,29,jul,99.0
472,cellular,28,jul,125.0
473,telephone,28,jul,257.0
474,cellular,29,jul,176.0
475,cellular,29,jul,10.0
476,cellular,20,nov,427.0
477,cellular,20,nov,120.0
478,cellular,20,nov,175.0
479,cellular,26,may,260.0
480,cellular,20,nov,215.0
481,cellular,29,jul,32.0
482,cellular,20,nov,51.0
483,cellular,26,may,251.0
484,cellular,29,jul,604.0
485,cellular,29,jul,314.0
486,cellular,26,may,119.0
487,cellular,29,jul,194.0
488,cellular,29,jul,90.0
489,cellular,20,apr,121.0
490,cellular,20,apr,380.0
491,cellular,29,jul,148.0
492,telephone,29,jul,186.0
493,cellular,29,jul,118.0
494,cellular,29,jul,114.0
495,cellular,20,nov,73.0
496,cellular,20,nov,20.0
497,cellular,20,nov,20.0
498,cellular,20,nov,186.0
499,cellular,20,nov,425.0
500,cellular,25,may,116.0
501,telephone,28,jul,126.0
502,cellular,29,jul,538.0
503,cellular,29,jul,163.0
504,cellular,20,apr,325.0
505,cellular,20,nov,143.0
506,cellular,20,nov,559.0
507,cellular,25,may,56.0
508,cellular,25,may,104.0
509,cellular,25,may,397.0
510,cellular,29,jul,88.0
511,cellular,29,jul,255.0
512,cellular,20,apr,16.0
513,cellular,20,nov,293.0
514,cellular,29,jul,797.0
515,cellular,29,jul,65.0
516,cellular,20,nov,138.0
517,cellular,29,jul,121.0
518,cellular,25,may,179.0
519,cellular,20,nov,105.0
520,cellular,25,may,265.0
521,cellular,20,apr,419.0
522,cellular,29,jul,51.0
523,cellular,29,jul,208.0
524,cellular,20,apr,766.0
525,cellular,25,may,236.0
526,cellular,20,nov,104.0
527,cellular,29,jul,331.0
528,cellular,20,nov,72.0
529,cellular,29,jul,63.0
530,cellular,25,may,365.0
531,cellular,29,jul,195.0
532,cellular,20,apr,257.0
533,cellular,29,jul,337.0
534,cellular,25,may,234.0
535,cellular,20,apr,115.0
536,cellular,20,nov,154.0
537,cellular,29,jul,207.0
538,cellular,29,jul,218.0
539,cellular,20,nov,131.0
540,cellular,29,jul,199.0
541,cellular,29,jul,57.0
542,cellular,20,apr,476.0
543,cellular,25,may,269.0
544,cellular,20,apr,58.0
545,cellular,20,nov,130.0
546,cellular,29,jul,60.0
547,cellular,29,jul,198.0
548,cellular,29,jul,82.0
549,cellular,20,nov,215.0
550,cellular,20,nov,311.0
551,cellular,29,jul,146.0
552,cellular,25,may,305.0
553,cellular,29,jul,91.0
554,cellular,29,jul,100.0
555,cellular,25,may,77.0
556,cellular,25,may,74.0
557,cellular,20,apr,131.0
558,telephone,20,nov,61.0
559,cellular,20,nov,123.0
560,cellular,20,apr,223.0
561,cellular,29,jul,69.0
562,cellular,29,jul,345.0
563,cellular,29,jul,197.0
564,cellular,20,nov,462.0
565,cellular,20,apr,305.0
566,cellular,25,may,324.0
567,cellular,20,nov,141.0
568,cellular,20,apr,87.0
569,cellular,29,jul,48.0
570,cellular,29,jul,109.0
571,cellular,29,jul,60.0
572,cellular,25,may,226.0
573,cellular,29,jul,97.0
574,cellular,29,jul,45.0
575,cellular,29,jul,64.0
576,cellular,29,jul,137.0
577,cellular,20,nov,219.0
578,cellular,29,jul,213.0
579,cellular,25,may,269.0
580,cellular,25,may,92.0
581,cellular,20,nov,661.0
582,cellular,20,apr,86.0
583,cellular,29,jul,64.0
584,cellular,29,jul,146.0
585,cellular,29,jul,145.0
586,cellular,29,jul,247.0
587,cellular,20,nov,191.0
588,cellular,29,jul,57.0
589,cellular,29,jul,105.0
590,cellular,25,may,200.0
591,cellular,29,jul,63.0
592,cellular,25,may,157.0
593,cellular,29,jul,188.0
594,cellular,29,jul,20.0
595,cellular,20,apr,48.0
596,cellular,20,nov,239.0
597,cellular,20,apr,110.0
598,cellular,25,may,111.0
599,cellular,28,jul,173.0
600,cellular,20,nov,113.0
601,cellular,20,apr,491.0
602,cellular,28,jul,141.0
603,telephone,28,jul,81.0
604,cellular,28,jul,121.0
605,cellular,20,apr,342.0
606,cellular,20,apr,199.0
607,cellular,28,jul,674.0
608,cellular,28,jul,68.0
609,cellular,20,nov,619.0
610,cellular,28,jul,102.0
611,cellular,28,jul,359.0
612,cellular,20,nov,127.0
613,cellular,28,jul,33.0
614,telephone,28,jul,97.0
615,cellular,28,jul,76.0
616,cellular,28,jul,118.0
617,cellular,26,may,197.0
618,cellular,28,jul,83.0
619,telephone,20,nov,93.0
620,cellular,28,jul,81.0
621,cellular,28,jul,487.0
622,cellular,28,jul,68.0
623,cellular,28,jul,383.0
624,cellular,28,jul,55.0
625,cellular,26,may,149.0
626,telephone,28,jul,81.0
627,cellular,28,jul,1096.0
628,cellular,28,jul,418.0
629,cellular,28,jul,283.0
630,cellular,28,jul,88.0
631,cellular,28,jul,310.0
632,cellular,28,jul,234.0
633,telephone,28,jul,426.0
634,cellular,20,apr,116.0
635,cellular,20,nov,115.0
636,telephone,28,jul,41.0
637,cellular,26,may,299.0
638,cellular,28,jul,63.0
639,cellular,20,nov,61.0
640,cellular,28,jul,258.0
641,telephone,28,jul,75.0
642,cellular,26,may,223.0
643,cellular,28,jul,431.0
644,cellular,28,jul,534.0
645,cellular,20,nov,106.0
646,cellular,20,nov,106.0
647,cellular,28,jul,534.0
648,cellular,28,jul,93.0
649,cellular,20,nov,88.0
650,cellular,26,may,407.0
651,cellular,20,nov,102.0
652,cellular,26,may,103.0
653,cellular,28,jul,231.0
654,cellular,20,nov,87.0
655,cellular,26,may,41.0
656,cellular,28,jul,404.0
657,cellular,28,jul,266.0
658,cellular,28,jul,86.0
659,cellular,26,may,89.0
660,cellular,28,jul,54.0
661,telephone,28,jul,359.0
662,cellular,28,jul,408.0
663,cellular,28,jul,301.0
664,cellular,26,may,82.0
665,telephone,28,jul,57.0
666,cellular,28,jul,332.0
667,cellular,26,may,150.0
668,telephone,28,jul,296.0
669,cellular,28,jul,201.0
670,cellular,28,jul,174.0
671,cellular,28,jul,48.0
672,cellular,28,jul,337.0
673,cellular,28,jul,71.0
674,telephone,28,jul,40.0
675,cellular,28,jul,73.0
676,cellular,28,jul,131.0
677,cellular,28,jul,300.0
678,cellular,28,jul,819.0
679,cellular,26,may,252.0
680,telephone,28,jul,1025.0
681,cellular,28,jul,231.0
682,cellular,20,apr,76.0
683,cellular,20,apr,285.0
684,cellular,20,nov,600.0
685,cellular,28,jul,395.0
686,cellular,28,jul,76.0
687,cellular,28,jul,25.0
688,cellular,28,jul,189.0
689,cellular,26,may,176.0
690,telephone,28,jul,155.0
691,cellular,20,nov,627.0
692,cellular,20,apr,401.0
693,cellular,28,jul,157.0
694,cellular,28,jul,289.0
695,cellular,28,jul,83.0
696,telephone,28,jul,73.0
697,cellular,28,jul,193.0
698,cellular,20,nov,399.0
699,cellular,26,may,187.0
700,cellular,28,jul,141.0
701,cellular,26,may,154.0
702,cellular,26,may,167.0
703,cellular,20,apr,89.0
704,cellular,28,jul,123.0
705,cellular,20,nov,187.0
706,telephone,28,jul,282.0
707,cellular,26,may,400.0
708,cellular,28,jul,147.0
709,cellular,26,may,58.0
710,cellular,28,jul,276.0
711,cellular,20,apr,326.0
712,cellular,20,apr,114.0
713,telephone,28,jul,76.0
714,cellular,20,nov,758.0
715,cellular,26,may,208.0
716,cellular,26,may,94.0
717,cellular,28,jul,72.0
718,cellular,20,nov,653.0
719,cellular,28,jul,76.0
720,cellular,28,jul,19.0
721,cellular,26,may,81.0
722,cellular,28,jul,151.0
723,cellular,28,jul,579.0
724,cellular,28,jul,85.0
725,cellular,28,jul,209.0
726,cellular,28,jul,341.0
727,cellular,20,apr,281.0
728,cellular,20,nov,159.0
729,telephone,28,jul,27.0
730,telephone,28,jul,90.0
731,cellular,20,nov,195.0
732,cellular,20,nov,16.0
733,cellular,28,jul,317.0
734,cellular,20,nov,330.0
735,telephone,20,nov,25.0
736,cellular,28,jul,120.0
737,cellular,20,apr,182.0
738,cellular,28,jul,110.0
739,cellular,28,jul,164.0
740,cellular,28,jul,136.0
741,cellular,20,nov,158.0
742,cellular,20,nov,192.0
743,cellular,20,apr,53.0
744,cellular,28,jul,488.0
745,telephone,20,apr,41.0
746,telephone,28,jul,107.0
747,cellular,28,jul,152.0
748,cellular,20,nov,260.0
749,cellular,28,jul,85.0
750,cellular,28,jul,320.0
751,cellular,20,nov,166.0
752,cellular,28,jul,37.0
753,cellular,28,jul,428.0
754,cellular,28,jul,91.0
755,cellular,28,jul,114.0
756,cellular,28,jul,149.0
757,cellular,28,jul,58.0
758,cellular,28,jul,290.0
759,cellular,20,apr,93.0
760,cellular,28,jul,433.0
761,cellular,28,jul,76.0
762,cellular,20,nov,77.0
763,cellular,28,jul,333.0
764,cellular,28,jul,124.0
765,cellular,28,jul,269.0
766,cellular,28,jul,322.0
767,cellular,28,jul,644.0
768,cellular,20,nov,279.0
769,cellular,20,apr,153.0
770,cellular,28,jul,106.0
771,cellular,28,jul,151.0
772,cellular,20,nov,40.0
773,cellular,28,jul,154.0
774,cellular,28,jul,101.0
775,cellular,28,jul,127.0
776,cellular,28,jul,83.0
777,cellular,20,apr,78.0
778,cellular,20,nov,9.0
779,cellular,28,jul,314.0
780,telephone,20,nov,55.0
781,cellular,28,jul,780.0
782,cellular,26,may,55.0
783,cellular,28,jul,170.0
784,telephone,28,jul,106.0
785,cellular,28,jul,609.0
786,cellular,20,apr,81.0
787,cellular,28,jul,123.0
788,cellular,28,jul,22.0
789,cellular,28,jul,262.0
790,cellular,20,apr,174.0
791,cellular,20,apr,226.0
792,cellular,28,jul,234.0
793,cellular,28,jul,257.0
794,cellular,28,jul,118.0
795,cellular,28,jul,71.0
796,cellular,26,may,145.0
797,cellular,28,jul,377.0
798,cellular,20,nov,517.0
799,cellular,25,jul,126.0
800,cellular,20,apr,318.0
801,cellular,25,may,304.0
802,cellular,3,jun,431.0
803,cellular,21,nov,318.0
804,cellular,23,jul,155.0
805,cellular,23,jul,74.0
806,cellular,21,nov,200.0
807,telephone,20,apr,205.0
808,cellular,20,apr,76.0
809,cellular,21,nov,567.0
810,cellular,21,nov,73.0
811,cellular,23,jul,157.0
812,cellular,23,jul,202.0
813,telephone,23,jul,70.0
814,cellular,20,nov,437.0
815,cellular,3,jun,161.0
816,cellular,23,jul,123.0
817,cellular,21,nov,13.0
818,cellular,23,jul,122.0
819,telephone,23,jul,40.0
820,cellular,20,apr,207.0
821,cellular,20,apr,377.0
822,cellular,3,jun,77.0
823,telephone,21,nov,228.0
824,cellular,20,apr,617.0
825,cellular,23,jul,159.0
826,cellular,20,apr,470.0
827,cellular,3,jun,102.0
828,cellular,3,jun,74.0
829,cellular,23,jul,216.0
830,cellular,20,apr,213.0
831,cellular,21,nov,62.0
832,cellular,20,apr,83.0
833,cellular,23,jul,135.0
834,cellular,21,nov,588.0
835,cellular,23,jul,435.0
836,cellular,3,jun,1361.0
837,cellular,3,jun,254.0
838,cellular,20,apr,246.0
839,cellular,21,nov,528.0
840,cellular,21,nov,76.0
841,cellular,20,apr,33.0
842,cellular,23,jul,97.0
843,telephone,23,jul,197.0
844,cellular,21,nov,279.0
845,cellular,20,apr,62.0
846,cellular,23,jul,538.0
847,cellular,23,jul,191.0
848,telephone,23,jul,355.0
849,unknown,23,jul,717.0
850,cellular,23,jul,245.0
851,cellular,23,jul,213.0
852,cellular,20,apr,414.0
853,telephone,23,jul,18.0
854,cellular,23,jul,250.0
855,telephone,23,jul,184.0
856,cellular,21,nov,110.0
857,cellular,20,apr,720.0
858,cellular,23,jul,471.0
859,cellular,4,jun,153.0
860,cellular,21,nov,73.0
861,cellular,4,jun,328.0
862,cellular,4,jun,262.0
863,telephone,23,jul,43.0
864,cellular,4,jun,280.0
865,telephone,23,jul,272.0
866,cellular,23,jul,633.0
867,cellular,23,jul,235.0
868,cellular,23,jul,167.0
869,cellular,21,nov,529.0
870,cellular,23,jul,495.0
871,cellular,23,jul,105.0
872,cellular,23,jul,136.0
873,cellular,4,jun,94.0
874,cellular,21,nov,635.0
875,cellular,23,jul,115.0
876,cellular,21,nov,710.0
877,cellular,23,jul,952.0
878,cellular,23,jul,61.0
879,cellular,23,jul,73.0
880,telephone,23,jul,31.0
881,cellular,3,jun,144.0
882,cellular,20,apr,16.0
883,cellular,20,apr,169.0
884,cellular,3,jun,178.0
885,cellular,20,apr,78.0
886,cellular,3,jun,1076.0
887,telephone,23,jul,160.0
888,telephone,21,nov,167.0
889,cellular,3,jun,266.0
890,cellular,3,jun,78.0
891,cellular,23,jul,319.0
892,cellular,3,jun,114.0
893,cellular,23,jul,156.0
894,cellular,20,apr,84.0
895,cellular,20,apr,178.0
896,cellular,3,jun,295.0
897,cellular,23,jul,112.0
898,cellular,3,jun,187.0
899,cellular,23,jul,644.0
900,cellular,23,jul,240.0
901,cellular,21,nov,71.0
902,cellular,3,jun,65.0
903,cellular,23,jul,58.0
904,cellular,20,apr,240.0
905,telephone,23,jul,203.0
906,cellular,23,jul,339.0
907,cellular,23,jul,185.0
908,cellular,3,jun,96.0
909,cellular,21,nov,63.0
910,telephone,23,jul,82.0
911,cellular,20,apr,372.0
912,telephone,23,jul,239.0
913,telephone,23,jul,90.0
914,cellular,23,jul,1327.0
915,cellular,21,nov,569.0
916,cellular,21,nov,46.0
917,cellular,21,nov,153.0
918,cellular,23,jul,361.0
919,cellular,23,jul,123.0
920,cellular,23,jul,203.0
921,cellular,23,jul,168.0
922,cellular,23,jul,448.0
923,cellular,23,jul,544.0
924,cellular,20,apr,149.0
925,telephone,20,apr,78.0
926,telephone,21,nov,1158.0
927,cellular,21,nov,89.0
928,cellular,3,jun,68.0
929,cellular,23,jul,437.0
930,cellular,21,nov,846.0
931,cellular,23,jul,201.0
932,cellular,3,jun,406.0
933,telephone,23,jul,350.0
934,cellular,21,nov,151.0
935,cellular,23,jul,198.0
